Experiment;Condition;Run;Sequence;Time
exp1c;experimental;1;9;2840957
exp1c;experimental;1;10;5122029
exp1c;plain;4;1;378090
exp1c;plain;4;2;370597
exp1c;plain;4;3;350155
exp1c;plain;4;4;361270
exp1c;plain;4;5;361291
exp1c;plain;4;6;336960
exp1c;plain;4;7;364175
exp1c;plain;4;8;363988
exp1c;plain;4;9;372699
exp1c;plain;4;10;374345
exp1c;plain;31;1;370141
exp1c;plain;31;2;366059
exp1c;plain;31;3;361588
exp1c;plain;31;4;364289
exp1c;plain;31;5;357167
exp1c;plain;31;6;358286
exp1c;plain;31;7;150391
exp1c;plain;31;8;365545
exp1c;plain;31;9;345529
exp1c;plain;31;10;347090
exp1c;plain;33;1;366640
exp1c;plain;33;2;348106
exp1c;plain;33;3;374919
exp1c;plain;33;4;367008
exp1c;plain;33;5;374192
exp1c;plain;33;6;345732
exp1c;plain;33;7;359336
exp1c;plain;33;8;373937
exp1c;plain;33;9;355005
exp1c;plain;33;10;358675
exp1c;experimental;14;1;3597293
exp1c;experimental;14;2;5027060
exp1c;experimental;14;3;4542163
exp1c;experimental;14;4;5396473
exp1c;experimental;14;5;4824635
exp1c;experimental;14;6;5018080
exp1c;experimental;14;7;3997897
exp1c;experimental;14;8;4295508
exp1c;experimental;14;9;3969010
exp1c;experimental;14;10;2075596
exp1c;control-defaultactionselection;13;1;3425269
exp1c;control-defaultactionselection;13;2;3389760
exp1c;control-defaultactionselection;13;3;4163389
exp1c;control-defaultactionselection;13;4;3481064
exp1c;control-defaultactionselection;13;5;3391652
exp1c;control-defaultactionselection;13;6;3181900
exp1c;control-defaultactionselection;13;7;3360494
exp1c;control-defaultactionselection;13;8;3234556
exp1c;control-defaultactionselection;13;9;3524381
exp1c;control-defaultactionselection;13;10;3406022
exp1c;control-defaultactionselection;34;1;3308264
exp1c;control-defaultactionselection;34;2;3170687
exp1c;control-defaultactionselection;34;3;3088378
exp1c;control-defaultactionselection;34;4;3498491
exp1c;control-defaultactionselection;34;5;3256908
exp1c;control-defaultactionselection;34;6;3412176
exp1c;control-defaultactionselection;34;7;3367344
exp1c;control-defaultactionselection;34;8;3036527
exp1c;control-defaultactionselection;34;9;2831833
exp1c;control-defaultactionselection;34;10;3253308
exp1c;plain;20;1;366877
exp1c;plain;20;2;363219
exp1c;plain;20;3;350023
exp1c;plain;20;4;363754
exp1c;plain;20;5;360520
exp1c;plain;20;6;369476
exp1c;plain;20;7;366041
exp1c;plain;20;8;359788
exp1c;plain;20;9;359944
exp1c;plain;20;10;367791
exp1c;plain;28;1;353690
exp1c;plain;28;2;347388
exp1c;plain;28;3;368989
exp1c;plain;28;4;355344
exp1c;plain;28;5;356530
exp1c;plain;28;6;354003
exp1c;plain;28;7;199280
exp1c;plain;28;8;363457
exp1c;plain;28;9;147197
exp1c;plain;28;10;365467
exp1c;plain;2;1;354475
exp1c;plain;2;2;360137
exp1c;plain;2;3;354342
exp1c;plain;2;4;365652
exp1c;plain;2;5;357039
exp1c;plain;2;6;135383
exp1c;plain;2;7;362707
exp1c;plain;2;8;365079
exp1c;plain;2;9;363711
exp1c;plain;2;10;350335
exp1c;plain;29;1;352839
exp1c;plain;29;2;355962
exp1c;plain;29;3;350055
exp1c;plain;29;4;353900
exp1c;plain;29;5;342412
exp1c;plain;29;6;369115
exp1c;plain;29;7;370514
exp1c;plain;29;8;361180
exp1c;plain;29;9;344244
exp1c;plain;29;10;351971
