Experiment;Condition;Run;Sequence;Total;Application
exp1c;control-defaultactionselection;25;5;14366;11588
exp1c;control-defaultactionselection;25;1;14115;11337
exp1c;control-defaultactionselection;25;7;14466;11682
exp1c;control-defaultactionselection;25;9;14852;11837
exp1c;control-customactionselection;32;7;10905;8487
exp1c;control-customactionselection;32;4;10674;8256
exp1c;control-customactionselection;32;8;10922;8504
exp1c;control-customactionselection;32;3;10626;8208
exp1c;control-customactionselection;32;5;10785;8367
exp1c;control-customactionselection;32;0;8458;6117
exp1c;control-customactionselection;32;1;9980;7562
exp1c;control-customactionselection;32;6;10905;8487
exp1c;control-customactionselection;32;2;10084;7666
exp1c;control-customactionselection;32;9;11136;8718
exp1c;control-customactionselection;16;1;8850;6509
exp1c;control-customactionselection;16;0;8373;6032
exp1c;control-customactionselection;16;3;11857;9431
exp1c;control-customactionselection;16;5;12426;9942
exp1c;control-customactionselection;16;4;12426;9942
exp1c;control-customactionselection;16;9;12792;10308
exp1c;control-customactionselection;16;6;12566;10082
exp1c;control-customactionselection;16;7;12585;10101
exp1c;control-customactionselection;16;2;9237;6896
exp1c;control-customactionselection;16;8;12708;10224
exp1c;experimental;27;4;10864;8172
exp1c;experimental;27;8;11370;8652
exp1c;experimental;27;5;10878;8186
exp1c;experimental;27;7;11204;8486
exp1c;experimental;27;3;10664;8015
exp1c;experimental;27;6;10986;8268
exp1c;experimental;27;1;10249;7600
exp1c;experimental;27;0;9854;7436
exp1c;experimental;27;2;10521;7872
exp1c;control-customactionselection;25;3;10447;8029
exp1c;control-customactionselection;25;6;10631;8213
exp1c;control-customactionselection;25;1;9343;6925
exp1c;control-customactionselection;25;2;10351;7933
exp1c;control-customactionselection;25;7;11721;8994
exp1c;control-customactionselection;25;5;10618;8200
exp1c;control-customactionselection;25;9;11871;9144
exp1c;control-customactionselection;25;8;11871;9144
exp1c;control-customactionselection;25;0;8433;6092
exp1c;control-customactionselection;25;4;10618;8200
exp1c;experimental;23;4;11225;8807
exp1c;experimental;23;2;10702;8284
exp1c;experimental;23;6;11323;8900
exp1c;experimental;23;1;10700;8282
exp1c;experimental;23;9;12223;9749
exp1c;experimental;23;8;11964;9490
exp1c;experimental;23;3;10787;8369
exp1c;experimental;23;0;10363;7945
exp1c;control-customactionselection;6;6;10209;7791
exp1c;control-customactionselection;6;4;10164;7746
exp1c;control-customactionselection;6;9;10490;8072
exp1c;control-customactionselection;6;8;10490;8072
exp1c;control-customactionselection;6;1;9817;7399
exp1c;control-customactionselection;6;5;10209;7791
exp1c;control-customactionselection;6;2;9960;7542
exp1c;control-customactionselection;6;7;10490;8072
exp1c;control-customactionselection;6;0;9757;7339
exp1c;control-customactionselection;6;3;10162;7744
exp1c;control-defaultactionselection;3;5;14592;11809
exp1c;control-defaultactionselection;3;3;14379;11596
exp1c;control-defaultactionselection;3;2;13958;11175
exp1c;control-defaultactionselection;3;4;14427;11644
exp1c;control-defaultactionselection;3;7;14592;11809
exp1c;control-defaultactionselection;3;9;14627;11844
exp1c;control-defaultactionselection;3;1;13958;11175
exp1c;control-defaultactionselection;3;0;13310;10534
exp1c;control-defaultactionselection;3;6;14592;11809
exp1c;control-defaultactionselection;3;8;14592;11809
exp1c;control-defaultactionselection;12;3;14000;11258
exp1c;control-defaultactionselection;12;1;12440;9698
exp1c;control-defaultactionselection;12;7;14484;11505
exp1c;control-defaultactionselection;12;2;13194;10452
exp1c;control-defaultactionselection;12;5;14478;11505
exp1c;control-defaultactionselection;12;0;10720;8302
exp1c;control-defaultactionselection;12;9;14515;11536
exp1c;control-defaultactionselection;12;4;14396;11423
exp1c;control-defaultactionselection;12;6;14484;11505
exp1c;control-defaultactionselection;12;8;14515;11536
exp1c;control-customactionselection;33;6;11374;8719
exp1c;control-customactionselection;33;7;11374;8719
exp1c;control-customactionselection;33;4;11114;8459
exp1c;control-customactionselection;33;2;10332;7903
exp1c;control-customactionselection;33;8;11374;8719
exp1c;control-customactionselection;33;0;8368;6024
exp1c;control-customactionselection;33;1;9892;7469
exp1c;control-customactionselection;33;3;10332;7903
exp1c;control-customactionselection;33;9;11776;9121
exp1c;control-customactionselection;33;5;11198;8543
exp1c;control-defaultactionselection;2;7;14946;11937
exp1c;control-defaultactionselection;2;8;14946;11937
exp1c;control-defaultactionselection;2;0;14028;11250
exp1c;control-defaultactionselection;2;4;14535;11757
exp1c;control-defaultactionselection;2;2;14303;11525
exp1c;control-defaultactionselection;2;9;14947;11938
exp1c;control-defaultactionselection;2;6;14946;11937
