Experiment;Condition;Run;Sequence;Result
exp1c;plain;6;5;0
exp1c;plain;6;6;0
exp1c;plain;6;7;0
exp1c;plain;6;8;0
exp1c;plain;6;9;0
exp1c;plain;6;10;0
exp1c;control-defaultactionselection;18;1;0
exp1c;control-defaultactionselection;18;2;0
exp1c;control-defaultactionselection;18;3;0
exp1c;control-defaultactionselection;18;4;0
exp1c;control-defaultactionselection;18;5;0
exp1c;control-defaultactionselection;18;6;0
exp1c;control-defaultactionselection;18;7;0
exp1c;control-defaultactionselection;18;8;0
exp1c;control-defaultactionselection;18;9;0
exp1c;control-defaultactionselection;18;10;0
exp1c;control-defaultactionselection;4;1;0
exp1c;control-defaultactionselection;4;2;0
exp1c;control-defaultactionselection;4;3;1
exp1c;control-defaultactionselection;4;4;0
exp1c;control-defaultactionselection;4;5;0
exp1c;control-defaultactionselection;4;6;0
exp1c;control-defaultactionselection;4;7;0
exp1c;control-defaultactionselection;4;8;0
exp1c;control-defaultactionselection;4;9;0
exp1c;control-defaultactionselection;4;10;0
exp1c;control-defaultactionselection;14;1;0
exp1c;control-defaultactionselection;14;2;0
exp1c;control-defaultactionselection;14;3;0
exp1c;control-defaultactionselection;14;4;0
exp1c;control-defaultactionselection;14;5;0
exp1c;control-defaultactionselection;14;6;0
exp1c;control-defaultactionselection;14;7;0
exp1c;control-defaultactionselection;14;8;0
exp1c;control-defaultactionselection;14;9;0
exp1c;control-defaultactionselection;14;10;0
exp1c;experimental;2;1;0
exp1c;experimental;2;2;0
exp1c;experimental;2;3;0
exp1c;experimental;2;4;0
exp1c;experimental;2;5;0
exp1c;experimental;2;6;1
exp1c;experimental;2;7;0
exp1c;experimental;2;8;0
exp1c;experimental;2;9;1
exp1c;experimental;2;10;0
exp1c;control-customactionselection;3;1;0
exp1c;control-customactionselection;3;2;0
exp1c;control-customactionselection;3;3;0
exp1c;control-customactionselection;3;4;0
exp1c;control-customactionselection;3;5;0
exp1c;control-customactionselection;3;6;0
exp1c;control-customactionselection;3;7;0
exp1c;control-customactionselection;3;8;0
exp1c;control-customactionselection;3;9;0
exp1c;control-customactionselection;3;10;0
exp1c;plain;24;1;0
exp1c;plain;24;2;0
exp1c;plain;24;3;0
exp1c;plain;24;4;0
exp1c;plain;24;5;0
exp1c;plain;24;6;0
exp1c;plain;24;7;0
exp1c;plain;24;8;0
exp1c;plain;24;9;0
exp1c;plain;24;10;0
exp1c;control-defaultactionselection;8;1;0
exp1c;control-defaultactionselection;8;2;0
exp1c;control-defaultactionselection;8;3;0
exp1c;control-defaultactionselection;8;4;0
exp1c;control-defaultactionselection;8;5;0
exp1c;control-defaultactionselection;8;6;0
exp1c;control-defaultactionselection;8;7;0
exp1c;control-defaultactionselection;8;8;0
exp1c;control-defaultactionselection;8;9;0
exp1c;control-defaultactionselection;8;10;1
exp1c;plain;13;1;0
exp1c;plain;13;2;0
exp1c;plain;13;3;0
exp1c;plain;13;4;0
exp1c;plain;13;5;0
exp1c;plain;13;6;0
exp1c;plain;13;7;0
exp1c;plain;13;8;0
exp1c;plain;13;9;0
exp1c;plain;13;10;0
exp1c;control-defaultactionselection;25;1;0
exp1c;control-defaultactionselection;25;2;0
exp1c;control-defaultactionselection;25;3;0
exp1c;control-defaultactionselection;25;4;0
exp1c;control-defaultactionselection;25;5;0
exp1c;control-defaultactionselection;25;6;0
exp1c;control-defaultactionselection;25;7;0
exp1c;control-defaultactionselection;25;8;0
exp1c;control-defaultactionselection;25;9;0
exp1c;control-defaultactionselection;25;10;1
exp1c;control-customactionselection;32;1;0
exp1c;control-customactionselection;32;2;0
exp1c;control-customactionselection;32;3;0
exp1c;control-customactionselection;32;4;0
exp1c;control-customactionselection;32;5;0
exp1c;control-customactionselection;32;6;0
exp1c;control-customactionselection;32;7;0
exp1c;control-customactionselection;32;8;0
