Experiment;Condition;Run;Sequence;Total;Application
exp1i;control-customactionselection;6;6;14428;10187
exp1i;control-customactionselection;6;7;14428;10187
exp1i;control-customactionselection;6;1;12471;8360
exp1i;control-customactionselection;6;3;13616;9487
exp1i;control-customactionselection;6;8;14689;10440
exp1i;control-customactionselection;6;0;12046;7949
exp1i;control-customactionselection;6;2;13094;8969
exp1i;control-customactionselection;6;4;13616;9487
exp1i;control-customactionselection;6;9;14689;10440
exp1i;control-customactionselection;6;5;13617;9487
exp1i;experimental;7;0;12030;8036
exp1i;experimental;7;8;15408;11105
exp1i;experimental;7;9;15408;11105
exp1i;experimental;7;7;14523;10275
exp1i;experimental;7;5;14511;10267
exp1i;experimental;7;2;14273;10047
exp1i;experimental;7;6;14523;10275
exp1i;experimental;7;1;13305;9188
exp1i;experimental;7;4;14489;10249
exp1i;experimental;7;3;14489;10249
exp1i;control-customactionselection;24;3;13299;9182
exp1i;control-customactionselection;24;9;14175;9952
exp1i;control-customactionselection;24;6;13452;9340
exp1i;control-customactionselection;24;2;12604;8493
exp1i;control-customactionselection;24;0;11848;7763
exp1i;control-customactionselection;24;8;14162;9939
exp1i;control-customactionselection;24;1;12145;8034
exp1i;control-customactionselection;24;7;13672;9560
exp1i;control-customactionselection;24;5;12590;8478
exp1i;control-customactionselection;5;4;13565;9353
exp1i;control-customactionselection;5;5;13641;9415
exp1i;control-customactionselection;5;6;13722;9496
exp1i;control-customactionselection;5;3;13429;9223
exp1i;control-customactionselection;5;2;12980;8897
exp1i;control-customactionselection;5;1;12721;8638
exp1i;control-customactionselection;5;8;15006;10749
exp1i;control-customactionselection;5;9;15008;10751
exp1i;control-customactionselection;5;0;11731;7758
exp1i;control-customactionselection;5;7;14714;10457
exp1i;control-defaultactionselection;42;2;15091;10803
exp1i;control-defaultactionselection;42;8;15887;11549
exp1i;control-defaultactionselection;42;0;11832;7551
exp1i;control-defaultactionselection;42;3;15885;11547
exp1i;control-defaultactionselection;42;6;15887;11549
