Experiment;Condition;Run;Sequence;Result
exp1i;control-customactionselection;7;6;0
exp1i;control-customactionselection;7;7;0
exp1i;control-customactionselection;7;8;0
exp1i;control-customactionselection;7;9;0
exp1i;control-customactionselection;7;10;0
exp1i;plain;41;1;0
exp1i;plain;41;2;0
exp1i;plain;41;3;0
exp1i;plain;41;4;0
exp1i;plain;41;5;0
exp1i;plain;41;6;0
exp1i;plain;41;7;0
exp1i;plain;41;8;0
exp1i;plain;41;9;0
exp1i;plain;41;10;0
exp1i;plain;17;1;0
exp1i;plain;17;2;0
exp1i;plain;17;3;0
exp1i;plain;17;4;0
exp1i;plain;17;5;0
exp1i;plain;17;6;0
exp1i;plain;17;7;0
exp1i;plain;17;8;0
exp1i;plain;17;9;0
exp1i;plain;17;10;0
exp1i;plain;20;1;0
exp1i;plain;20;2;0
exp1i;plain;20;3;0
exp1i;plain;20;4;0
exp1i;plain;20;5;0
exp1i;plain;20;6;0
exp1i;plain;20;7;0
exp1i;plain;20;8;0
exp1i;plain;20;9;0
exp1i;plain;20;10;0
exp1i;plain;2;1;0
exp1i;plain;2;2;0
exp1i;plain;2;3;0
exp1i;plain;2;4;0
exp1i;plain;2;5;0
exp1i;plain;2;6;0
exp1i;plain;2;7;0
exp1i;plain;2;8;0
exp1i;plain;2;9;0
exp1i;plain;2;10;0
exp1i;experimental;1;1;0
exp1i;experimental;1;2;0
exp1i;experimental;1;3;0
exp1i;experimental;1;4;0
exp1i;experimental;1;5;0
exp1i;experimental;1;6;0
exp1i;experimental;1;7;0
exp1i;experimental;1;8;0
exp1i;experimental;1;9;0
exp1i;experimental;1;10;0
exp1i;control-customactionselection;14;1;0
exp1i;control-customactionselection;14;2;0
exp1i;control-customactionselection;14;3;0
exp1i;control-customactionselection;14;4;0
exp1i;control-customactionselection;14;5;0
exp1i;control-customactionselection;14;6;0
exp1i;control-customactionselection;14;7;0
exp1i;control-customactionselection;14;8;0
exp1i;control-customactionselection;14;9;0
exp1i;control-customactionselection;14;10;0
exp1i;control-defaultactionselection;19;1;0
exp1i;control-defaultactionselection;19;2;0
exp1i;control-defaultactionselection;19;3;0
exp1i;control-defaultactionselection;19;4;0
exp1i;control-defaultactionselection;19;5;0
exp1i;control-defaultactionselection;19;6;0
exp1i;control-defaultactionselection;19;7;0
exp1i;control-defaultactionselection;19;8;0
exp1i;control-defaultactionselection;19;9;0
exp1i;control-defaultactionselection;19;10;0
exp1i;control-customactionselection;12;1;0
exp1i;control-customactionselection;12;2;0
exp1i;control-customactionselection;12;3;0
exp1i;control-customactionselection;12;4;0
exp1i;control-customactionselection;12;5;0
exp1i;control-customactionselection;12;6;0
exp1i;control-customactionselection;12;7;0
exp1i;control-customactionselection;12;8;0
exp1i;control-customactionselection;12;9;0
exp1i;control-customactionselection;12;10;0
exp1i;control-defaultactionselection;18;1;0
exp1i;control-defaultactionselection;18;2;0
exp1i;control-defaultactionselection;18;3;1
exp1i;control-defaultactionselection;18;4;1
exp1i;control-defaultactionselection;18;5;1
exp1i;control-defaultactionselection;18;6;1
exp1i;control-defaultactionselection;18;7;1
exp1i;control-defaultactionselection;18;8;0
exp1i;control-defaultactionselection;18;9;0
exp1i;control-defaultactionselection;18;10;0
exp1i;control-customactionselection;29;1;0
exp1i;control-customactionselection;29;2;0
exp1i;control-customactionselection;29;3;0
exp1i;control-customactionselection;29;4;0
exp1i;control-customactionselection;29;5;0
exp1i;control-customactionselection;29;6;0
exp1i;control-customactionselection;29;7;0
exp1i;control-customactionselection;29;8;0
exp1i;control-customactionselection;29;9;1
exp1i;control-customactionselection;29;10;1
exp1i;control-customactionselection;22;1;0
exp1i;control-customactionselection;22;2;0
exp1i;control-customactionselection;22;3;0
exp1i;control-customactionselection;22;4;0
exp1i;control-customactionselection;22;5;0
exp1i;control-customactionselection;22;6;0
exp1i;control-customactionselection;22;7;0
exp1i;control-customactionselection;22;8;1
exp1i;control-customactionselection;22;9;0
exp1i;control-customactionselection;22;10;0
exp1i;plain;39;1;1
exp1i;plain;39;2;0
exp1i;plain;39;3;0
exp1i;plain;39;4;0
exp1i;plain;39;5;0
exp1i;plain;39;6;0
exp1i;plain;39;7;0
exp1i;plain;39;8;0
exp1i;plain;39;9;0
exp1i;plain;39;10;0
exp1i;plain;30;1;0
exp1i;plain;30;2;0
exp1i;plain;30;3;0
exp1i;plain;30;4;0
exp1i;plain;30;5;0
exp1i;plain;30;6;0
exp1i;plain;30;7;0
exp1i;plain;30;8;0
exp1i;plain;30;9;0
exp1i;plain;30;10;0
exp1i;control-defaultactionselection;1;1;0
exp1i;control-defaultactionselection;1;2;0
exp1i;control-defaultactionselection;1;3;0
exp1i;control-defaultactionselection;1;4;0
exp1i;control-defaultactionselection;1;5;0
exp1i;control-defaultactionselection;1;6;0
exp1i;control-defaultactionselection;1;7;0
exp1i;control-defaultactionselection;1;8;0
exp1i;control-defaultactionselection;1;9;0
exp1i;control-defaultactionselection;1;10;0
exp1i;control-customactionselection;16;1;0
exp1i;control-customactionselection;16;2;0
exp1i;control-customactionselection;16;3;0
exp1i;control-customactionselection;16;4;0
exp1i;control-customactionselection;16;5;0
exp1i;control-customactionselection;16;6;0
exp1i;control-customactionselection;16;7;0
exp1i;control-customactionselection;16;8;0
exp1i;control-customactionselection;16;9;0
exp1i;control-customactionselection;16;10;0
exp1i;control-customactionselection;13;1;0
exp1i;control-customactionselection;13;2;0
exp1i;control-customactionselection;13;3;0
exp1i;control-customactionselection;13;4;0
exp1i;control-customactionselection;13;5;0
exp1i;control-customactionselection;13;6;0
exp1i;control-customactionselection;13;7;0
exp1i;control-customactionselection;13;8;0
exp1i;control-customactionselection;13;9;0
exp1i;control-customactionselection;13;10;0
exp1i;experimental;3;1;0
exp1i;experimental;3;2;0
exp1i;experimental;3;3;0
exp1i;experimental;3;4;0
exp1i;experimental;3;5;0
exp1i;experimental;3;6;0
exp1i;experimental;3;7;0
exp1i;experimental;3;8;0
exp1i;experimental;3;9;0
exp1i;experimental;3;10;0
exp1i;plain;25;1;0
exp1i;plain;25;2;0
exp1i;plain;25;3;0
exp1i;plain;25;4;0
exp1i;plain;25;5;0
exp1i;plain;25;6;0
exp1i;plain;25;7;0
exp1i;plain;25;8;0
exp1i;plain;25;9;0
exp1i;plain;25;10;0
exp1i;experimental;12;1;0
exp1i;experimental;12;2;0
exp1i;experimental;12;3;0
exp1i;experimental;12;4;0
exp1i;experimental;12;5;0
exp1i;experimental;12;6;0
exp1i;experimental;12;7;0
exp1i;experimental;12;8;0
exp1i;experimental;12;9;0
exp1i;experimental;12;10;0
exp1i;control-defaultactionselection;15;1;0
exp1i;control-defaultactionselection;15;2;0
exp1i;control-defaultactionselection;15;3;0
exp1i;control-defaultactionselection;15;4;0
exp1i;control-defaultactionselection;15;5;0
exp1i;control-defaultactionselection;15;6;0
exp1i;control-defaultactionselection;15;7;0
exp1i;control-defaultactionselection;15;8;0
exp1i;control-defaultactionselection;15;9;0
exp1i;control-defaultactionselection;15;10;0
exp1i;control-customactionselection;11;1;0
exp1i;control-customactionselection;11;2;0
exp1i;control-customactionselection;11;3;0
exp1i;control-customactionselection;11;4;0
exp1i;control-customactionselection;11;5;0
exp1i;control-customactionselection;11;6;0
exp1i;control-customactionselection;11;7;0
exp1i;control-customactionselection;11;8;0
exp1i;control-customactionselection;11;9;0
exp1i;control-customactionselection;11;10;0
exp1i;control-customactionselection;6;1;0
exp1i;control-customactionselection;6;2;0
exp1i;control-customactionselection;6;3;0
exp1i;control-customactionselection;6;4;0
exp1i;control-customactionselection;6;5;0
exp1i;control-customactionselection;6;6;0
exp1i;control-customactionselection;6;7;0
exp1i;control-customactionselection;6;8;0
exp1i;control-customactionselection;6;9;0
exp1i;control-customactionselection;6;10;0
exp1i;plain;26;1;0
exp1i;plain;26;2;0
exp1i;plain;26;3;0
exp1i;plain;26;4;0
exp1i;plain;26;5;0
exp1i;plain;26;6;0
exp1i;plain;26;7;0
exp1i;plain;26;8;0
exp1i;plain;26;9;0
exp1i;plain;26;10;0
exp1i;experimental;7;1;0
exp1i;experimental;7;2;0
exp1i;experimental;7;3;0
exp1i;experimental;7;4;0
exp1i;experimental;7;5;0
exp1i;experimental;7;6;0
exp1i;experimental;7;7;0
exp1i;experimental;7;8;0
exp1i;experimental;7;9;0
exp1i;experimental;7;10;0
exp1i;control-customactionselection;24;1;0
exp1i;control-customactionselection;24;2;0
exp1i;control-customactionselection;24;3;0
exp1i;control-customactionselection;24;4;0
exp1i;control-customactionselection;24;5;1
exp1i;control-customactionselection;24;6;0
exp1i;control-customactionselection;24;7;0
exp1i;control-customactionselection;24;8;0
exp1i;control-customactionselection;24;9;0
exp1i;control-customactionselection;24;10;0
exp1i;control-customactionselection;5;1;0
exp1i;control-customactionselection;5;2;0
exp1i;control-customactionselection;5;3;0
exp1i;control-customactionselection;5;4;0
exp1i;control-customactionselection;5;5;0
exp1i;control-customactionselection;5;6;0
exp1i;control-customactionselection;5;7;0
exp1i;control-customactionselection;5;8;0
exp1i;control-customactionselection;5;9;0
exp1i;control-customactionselection;5;10;0
exp1i;plain;24;1;0
exp1i;plain;24;2;0
exp1i;plain;24;3;0
exp1i;plain;24;4;0
exp1i;plain;24;5;0
exp1i;plain;24;6;0
exp1i;plain;24;7;0
exp1i;plain;24;8;0
exp1i;plain;24;9;0
exp1i;plain;24;10;0
exp1i;control-defaultactionselection;42;1;0
exp1i;control-defaultactionselection;42;2;0
exp1i;control-defaultactionselection;42;3;0
exp1i;control-defaultactionselection;42;4;0
exp1i;control-defaultactionselection;42;5;0
exp1i;control-defaultactionselection;42;6;0
exp1i;control-defaultactionselection;42;7;0
exp1i;control-defaultactionselection;42;8;0
exp1i;control-defaultactionselection;42;9;0
exp1i;control-defaultactionselection;42;10;0
exp1i;control-defaultactionselection;34;1;0
exp1i;control-defaultactionselection;34;2;0
exp1i;control-defaultactionselection;34;3;0
exp1i;control-defaultactionselection;34;4;0
exp1i;control-defaultactionselection;34;5;0
exp1i;control-defaultactionselection;34;6;0
exp1i;control-defaultactionselection;34;7;0
exp1i;control-defaultactionselection;34;8;0
exp1i;control-defaultactionselection;34;9;0
exp1i;control-defaultactionselection;34;10;0
exp1i;plain;29;1;0
exp1i;plain;29;2;0
exp1i;plain;29;3;0
exp1i;plain;29;4;0
exp1i;plain;29;5;0
exp1i;plain;29;6;0
exp1i;plain;29;7;0
exp1i;plain;29;8;0
exp1i;plain;29;9;0
exp1i;plain;29;10;0
exp1i;control-defaultactionselection;24;1;0
exp1i;control-defaultactionselection;24;2;0
exp1i;control-defaultactionselection;24;3;0
exp1i;control-defaultactionselection;24;4;0
exp1i;control-defaultactionselection;24;5;0
exp1i;control-defaultactionselection;24;6;0
exp1i;control-defaultactionselection;24;7;0
exp1i;control-defaultactionselection;24;8;0
exp1i;control-defaultactionselection;24;9;0
exp1i;control-defaultactionselection;24;10;0
exp1i;experimental;21;1;0
exp1i;experimental;21;2;0
exp1i;experimental;21;3;0
exp1i;experimental;21;4;0
exp1i;experimental;21;5;0
exp1i;experimental;21;6;0
exp1i;experimental;21;7;0
exp1i;experimental;21;8;0
exp1i;experimental;21;9;0
exp1i;experimental;21;10;0
exp1i;plain;12;1;0
exp1i;plain;12;2;0
exp1i;plain;12;3;0
exp1i;plain;12;4;0
exp1i;plain;12;5;0
exp1i;plain;12;6;0
